,anio,municipio_nombre,municipio_id,sexo,intervalo_peso,nacidos_cantidad,centroide_lat,centroide_lon
243,2014,La Costa,06420,Masculino,1000-1499,4,-36.6782018340746,-56.7189105106819
244,2014,La Costa,06420,Masculino,1500-1999,12,-36.6782018340746,-56.7189105106819
245,2014,La Costa,06420,Masculino,2000-2499,37,-36.6782018340746,-56.7189105106819
246,2014,La Costa,06420,Masculino,2500-2999,112,-36.6782018340746,-56.7189105106819
247,2014,La Costa,06420,Masculino,3000-3499,293,-36.6782018340746,-56.7189105106819
248,2014,La Costa,06420,Masculino,3500 y más,238,-36.6782018340746,-56.7189105106819
249,2014,La Costa,06420,Masculino,Ignorado,10,-36.6782018340746,-56.7189105106819
250,2014,Dolores,06238,Masculino,1000-1499,3,-36.3986615535861,-57.6326112996265
251,2014,Dolores,06238,Masculino,1500-1999,1,-36.3986615535861,-57.6326112996265
252,2014,Dolores,06238,Masculino,2000-2499,10,-36.3986615535861,-57.6326112996265
253,2014,Dolores,06238,Masculino,2500-2999,51,-36.3986615535861,-57.6326112996265
254,2014,Dolores,06238,Masculino,3000-3499,115,-36.3986615535861,-57.6326112996265
255,2014,Dolores,06238,Masculino,3500 y más,68,-36.3986615535861,-57.6326112996265
256,2014,Dolores,06238,Masculino,Ignorado,8,-36.3986615535861,-57.6326112996265
257,2014,Ensenada,06245,Masculino,1000-1499,1,-34.8422541243278,-57.9789322374943
258,2014,Ensenada,06245,Masculino,1500-1999,5,-34.8422541243278,-57.9789322374943
259,2014,Ensenada,06245,Masculino,2000-2499,22,-34.8422541243278,-57.9789322374943
260,2014,Ensenada,06245,Masculino,2500-2999,97,-34.8422541243278,-57.9789322374943
261,2014,Ensenada,06245,Masculino,3000-3499,243,-34.8422541243278,-57.9789322374943
262,2014,Ensenada,06245,Masculino,3500 y más,230,-34.8422541243278,-57.9789322374943
263,2014,Ensenada,06245,Masculino,500-999,1,-34.8422541243278,-57.9789322374943
264,2014,Ensenada,06245,Masculino,Ignorado,11,-34.8422541243278,-57.9789322374943
265,2014,Ensenada,06245,Masculino,Menor a 500,1,-34.8422541243278,-57.9789322374943
266,2014,Escobar,06252,Masculino,1000-1499,19,-34.328718150088,-58.7711281467366
267,2014,Escobar,06252,Masculino,1500-1999,30,-34.328718150088,-58.7711281467366
268,2014,Escobar,06252,Masculino,2000-2499,99,-34.328718150088,-58.7711281467366
269,2014,Escobar,06252,Masculino,2500-2999,346,-34.328718150088,-58.7711281467366
270,2014,Escobar,06252,Masculino,3000-3499,1009,-34.328718150088,-58.7711281467366
271,2014,Escobar,06252,Masculino,3500 y más,949,-34.328718150088,-58.7711281467366
272,2014,Escobar,06252,Masculino,500-999,8,-34.328718150088,-58.7711281467366
273,2014,Escobar,06252,Masculino,Ignorado,62,-34.328718150088,-58.7711281467366
274,2014,Esteban Echeverría,06260,Masculino,1000-1499,21,-34.8312099703342,-58.476969025414
275,2014,Esteban Echeverría,06260,Masculino,1500-1999,26,-34.8312099703342,-58.476969025414
276,2014,Esteban Echeverría,06260,Masculino,2000-2499,149,-34.8312099703342,-58.476969025414
277,2014,Esteban Echeverría,06260,Masculino,2500-2999,442,-34.8312099703342,-58.476969025414
278,2014,Esteban Echeverría,06260,Masculino,3000-3499,1272,-34.8312099703342,-58.476969025414
279,2014,Esteban Echeverría,06260,Masculino,3500 y más,1347,-34.8312099703342,-58.476969025414
280,2014,Esteban Echeverría,06260,Masculino,500-999,9,-34.8312099703342,-58.476969025414
281,2014,Esteban Echeverría,06260,Masculino,Ignorado,105,-34.8312099703342,-58.476969025414
282,2014,Exaltación De La Cruz,06266,Masculino,1500-1999,1,-34.2951491690699,-59.1559117007684
283,2014,Exaltación De La Cruz,06266,Masculino,2000-2499,14,-34.2951491690699,-59.1559117007684
284,2014,Exaltación De La Cruz,06266,Masculino,2500-2999,45,-34.2951491690699,-59.1559117007684
285,2014,Exaltación De La Cruz,06266,Masculino,3000-3499,123,-34.2951491690699,-59.1559117007684
286,2014,Exaltación De La Cruz,06266,Masculino,3500 y más,135,-34.2951491690699,-59.1559117007684
287,2014,Exaltación De La Cruz,06266,Masculino,500-999,1,-34.2951491690699,-59.1559117007684
288,2014,Exaltación De La Cruz,06266,Masculino,Ignorado,2,-34.2951491690699,-59.1559117007684
289,2014,Ezeiza,06270,Masculino,1000-1499,8,-34.8758213531443,-58.5648395364287
290,2014,Ezeiza,06270,Masculino,1500-1999,20,-34.8758213531443,-58.5648395364287
291,2014,Ezeiza,06270,Masculino,2000-2499,75,-34.8758213531443,-58.5648395364287
292,2014,Ezeiza,06270,Masculino,2500-2999,278,-34.8758213531443,-58.5648395364287
293,2014,Ezeiza,06270,Masculino,3000-3499,820,-34.8758213531443,-58.5648395364287
294,2014,Ezeiza,06270,Masculino,3500 y más,817,-34.8758213531443,-58.5648395364287
295,2014,Ezeiza,06270,Masculino,500-999,14,-34.8758213531443,-58.5648395364287
296,2014,Ezeiza,06270,Masculino,Ignorado,103,-34.8758213531443,-58.5648395364287
